USA;Reino unido Tech;Reino unido Adj;Frances;UIAA;SAXON;Oceania;Sur Africa;Finlandia;Suecia-Noruega;Brasil
3-4;1;M;1;I;I;1-2;1-2;1;1;I
5.0;1;M;1;I;I;3-4;3-4;1;1;I sup
5.1;2;M;2;II;II;5-6;5-6;2;2;II
5.2;2;D;2;II;II;7-8;7-8;2;2;II sup
5.3;3;D;3;III;III;8-9;8-9;3;3;II sup
5.4;3;VD;4a;IV;IV;10-11;10-11;4;4;III
5.5;4a;S;4b;IV+;V;11-12;11-12;5?;5?;III sup
5.6;4b;HS;4c;V;VI;13;13;5;5;IV
5.7;4c;VS;5a;V+;VI;14-15;14-15;5;5;IV
5.8;4c;HVS;5b;VI-;VIIa;15-16;16;5+;5+;IV sup
5.9;5a;HVS;5c;VI;VIIb;17;17-18;5+;6-;V
5.10a;5a;E1;6a;VI+;VIIc;18;19;6-;6-;VI
5.10b;5b;E1;6a+;VII-;VIIc;19;20;6-;6;VI
5.10c;5b;E2;6b;VII;VIIIa;20;21;6;6+;VI sup
5.10d;5c;E2;6b+;VII+;VIIIb;20;22;6;7-;VI sup
5.11a;5c;E3;6c;VII+;VIIIc;21;22;6+;7-;7a
5.11b;5c;E3;6c+;VIII-;VIIIc;22;23;6+;7;7b
5.11c;6a;E4;6C+;VIII-;IXa;23;24;7-;7+;7c
5.11d;6a;E4;7a;VIII;IXb;24;25;7;7+;7c
5.12a;6a;E5;7a+;VIII+;IXc;25;26;7+;8-;8a
5.12b;6a;E5;7b;VIII+;IXc;26;27;8?;8-;8b
5.12c;6b;E6;7b+;IX?;Xa;27;28;8;8;8c
5.12d;6b;E6;7c;IX;Xb;28;29;8+;8;9a
5.13a;6b;E7;7c+;IX+;Xc;29;30;9?;8+;9b
5.13b;6c;E7;8a;IX+;Xc;29;31;9;9-;9c
5.13c;6c;E8;8a+;X?;XIa;30;32;9+;9-;10a
5.13d;6c;E9;8b;X;XIb;31;33;10?;9;10b
5.14a;7a;E10;8b+;X+;XIc;32;34;10;9;10c
5.14b;7a;E10;8c;X+;XIc;33;35;10+;9+;11a
5.14c;7b;E11;8c+;XI?;XIc;34;36;11?;9+;11b
5.14d;7b;E11;9a;XI;XIc;35;37;11;9+;11c
5.15a;7b;E11;9a+;XI+;XIc;36;38;11;9+;12a
5.15b;7b;E11;9b;XI+/XII?;XIc;37;39;11;9+;12b
5.15c;7b;E11;9b+;XII-;XIc;38;40;11;9+;12c
